MRPL13	GO:0003735
SCGB1D4	GO:0005576
VEGFA	GO:0008083
RASSF4	GO:0005515
CCNY	GO:0000086
S100A8	GO:0001816
COL11A2	GO:0005201
COL4A1	GO:0001569
PAK2	GO:0004674
HAT1	GO:0004402
MPHOSPH6	GO:0005634
IRAK4	GO:0001816
CTSZ	GO:0002003
CLOCK	GO:0003700
NME1	GO:0004550
MPO	GO:0002149
GADD45A	GO:0005634
NCL	GO:0000166
SRRM2	GO:0000398
HMOX1	GO:0004392
C9	GO:0005576
MMP3	GO:0004222
NR1H2	GO:0003700
UBE2L3	GO:0000151
SLC26A7	GO:0001696
MAPK8IP1	GO:0004860
CDK5R1	GO:0016533
RIMS2	GO:0017157
ANXA5	GO:0005509
GFAP	GO:0005198
HECW2	GO:0004842
BRCA1	GO:0003677
BRD2	GO:0003682
PNO1	GO:0005634
GHRHR	GO:0004930
MAP2K1	GO:0004672
CARTPT	GO:0000186
NCKAP1	GO:0001701
NFIB	GO:0003700
SRI	GO:0004198
C21orf2	GO:0003674
TTPA	GO:0001892
GJA1	GO:0000139
XPNPEP1	GO:0005737
NPPC	GO:0001503
KNG1	GO:0002576
SYNM	GO:0005200
CLCF1	GO:0002639
RNF146	GO:0004842
DAPK1	GO:0004674
GPRC6A	GO:0004930
SLC16A1	GO:0005739
VGF	GO:0001541
NR1H4	GO:0003700
IDO1	GO:0020037
ADAM10	GO:0006508
MTNR1B	GO:0007186
MTPAP	GO:0005739
APEH	GO:0004252
APEX1	GO:0003677
PAFAH1B1	GO:0000086
GPC1	GO:0005578
CDCA7L	GO:0005634
IL18BP	GO:0005576
MT1G	GO:0046872
SEZ6L2	GO:0005783
PPY	GO:0001664
GAD2	GO:0000139
PDCD4	GO:0003723
LCMT1	GO:0008168
ANKS1B	GO:0005737
SSB	GO:0000166
NOX1	GO:0016021
EIF2AK4	GO:0004672
P2RX7	GO:0001614
CSF1	GO:0005125
CSRP3	GO:0002026
PSMC6	GO:0005524
CPT1B	GO:0008152
F2R	GO:0000186
FRS3	GO:0005158
APH1A	GO:0016021
GSAP	GO:0001540
SRD5A2	GO:0003865
TNF	GO:0000060
ABCA2	GO:0005524
CPOX	GO:0004109
HTR2A	GO:0004993
SOS2	GO:0005089
EIF2S1	GO:0003743
RIMBP2	GO:0005886
ADAM12	GO:0004222
GLTSCR2	GO:0005730
STK11	GO:0004674
SPP1	GO:0001503
BDKRB2	GO:0002020
TG	GO:0005615
DLG1	GO:0007268
IFI27	GO:0016021
LAMA1	GO:0002011
DCN	GO:0005518
S100A12	GO:0002548
PAK1	GO:0004674
ROCK2	GO:0004674
FHL5	GO:0003713
TRPC4AP	GO:0005515
SYN1	GO:0003779
RMDN3	GO:0000922
HSD17B1	GO:0004303
KCNQ4	GO:0005251
UTP11L	GO:0005515
KIF11	GO:0003777
GRIN3A	GO:0004972
IL1RN	GO:0001660
MRGPRX1	GO:0004930
MAPK1	GO:0000165
DOCK2	GO:0005085
CYP27B1	GO:0004497
PDGFRB	GO:0001701
MEGF10	GO:0001891
SUPV3L1	GO:0000958
PVALB	GO:0005509
GCK	GO:0001678
C1orf52	GO:0005634
CDK7	GO:0004672
TPPP3	GO:0001578
RNPEP	GO:0004177
PITX3	GO:0000978
CSK	GO:0001817
HDAC2	GO:0004407
RRNAD1	GO:0000179
GPHN	GO:0005737
UCN3	GO:0001664
SH2D3C	GO:0005070
CRP	GO:0001666
NDUFB4	GO:0005654
SYNGR3	GO:0016021
NXF1	GO:0000166
TNFRSF1A	GO:0007165
LRP4	GO:0017147
SERPINA3	GO:0005615
PPARD	GO:0000122
ZC3H14	GO:0008143
UBE2T	GO:0003682
WNK1	GO:0004674
ETFDH	GO:0004174
TARDBP	GO:0000166
PRKAG3	GO:0016301
SCG3	GO:0002576
PIK3CD	GO:0005524
VCAM1	GO:0016021
PRDX1	GO:0051920
F7	GO:0004252
PHLDA2	GO:0001890
NANOS3	GO:0000932
PARK7	GO:0000785
SNAP91	GO:0005545
SSX1	GO:0003676
CDH2	GO:0005509
ZNF532	GO:0003676
SELE	GO:0002092
KIAA1161	GO:0004553
CRHR1	GO:0004930
VAMP2	GO:0005484
ABCB6	GO:0005524
RTN4R	GO:0004872
NUBP1	GO:0005524
ACACA	GO:0004075
POLN	GO:0003677
TDO2	GO:0004833
MRGPRX3	GO:0004930
TMBIM6	GO:0016021
SAA2	GO:0005615
SLC2A1	GO:0005351
MMP19	GO:0006508
PLTP	GO:0005576
ARL6IP1	GO:0005515
PIK3CA	GO:0002250
TSPY1	GO:0003674
PRKACB	GO:0004674
CRMP1	GO:0000226
GDNF	GO:0001656
CIZ1	GO:0003676
BRCA2	GO:0051276
SLC2A8	GO:0005351
CSF1R	GO:0004714
SLC11A2	GO:0005215
ERG	GO:0000981
NCAM1	GO:0007155
PTGS2	GO:0001516
PSMD13	GO:0000082
FAAH	GO:0008152
IL6	GO:0005125
YAP1	GO:0000902
ADH1A	GO:0004022
AP4B1	GO:0006886
NCR2	GO:0004888
ELF3	GO:0000978
CD79A	GO:0004888
HTR1B	GO:0002031
APLP2	GO:0008201
MIF	GO:0001516
PPID	GO:0000413
LRP2	GO:0016021
IFNG	GO:0000060
LPA	GO:0001968
MBL2	GO:0001867
SLC2A3	GO:0005351
NOS1	GO:0003958
COX8A	GO:0002230
TMED7	GO:0006810
CBS	GO:0005737
GSTM1	GO:0004364
EGR1	GO:0000122
ITGA2	GO:0007155
MT1A	GO:0005515
MYH6	GO:0000146
VLDLR	GO:0000122
AIMP2	GO:0005515
RUNX1T1	GO:0003700
OMA1	GO:0004222
ATF2	GO:0003700
PGPEP1	GO:0005829
FCN2	GO:0001867
NDRG2	GO:0007165
FKBP5	GO:0000413
S100A6	GO:0001726
PSMB9	GO:0004175
ABCA7	GO:0005548
NOL3	GO:0042981
NUP43	GO:0000278
EIF2AK3	GO:0004674
HTR2C	GO:0001587
ERV3-1	GO:0003674
GART	GO:0004637
GNA12	GO:0003924
KLK15	GO:0004252
HSD17B10	GO:0016491
SON	GO:0003676
LIF	GO:0001135
EIF2S3	GO:0003924
PIP4K2B	GO:0016307
CSF2	GO:0001892
DDX46	GO:0000398
SLC4A1AP	GO:0005515
IL12A	GO:0005143
METAP2	GO:0005737
DLST	GO:0008152
AK1	GO:0005524
ECE2	GO:0004222
ZNF320	GO:0003677
HTR6	GO:0004969
CHRNA3	GO:0004889
RNF19A	GO:0000226
LAMC1	GO:0005201
HSPB8	GO:0005515
AKR1A1	GO:0004032
PADI2	GO:0004668
YY1	GO:0003676
TPPP	GO:0001578
ITGB1	GO:0004872
SGSM3	GO:0005096
PDPK1	GO:0004672
FAM20C	GO:0004674
KCNC4	GO:0005251
TP53BP2	GO:0002039
TOMM40	GO:0005654
SOAT1	GO:0005783
FOSB	GO:0003677
FN1	GO:0005576
TNFRSF11A	GO:0001503
IFNAR1	GO:0005886
F2RL1	GO:0015057
HTR4	GO:0007214
PGAP3	GO:0000139
THBD	GO:0004872
PON1	GO:0004063
EBF3	GO:0003677
MAOB	GO:0005739
MOG	GO:0005886
DAOA	GO:1900758
GPNMB	GO:0001649
NR3C1	GO:0003677
TUBA1B	GO:0003924
RBBP6	GO:0003676
TIMP3	GO:0002020
PCBD1	GO:0003713
INSR	GO:0000187
UBR4	GO:0008270
TNFSF10	GO:0005102
MYH13	GO:0000146
NINJ2	GO:0007155
BAX	GO:0005741
LPHN2	GO:0004930
CHEK2	GO:0004672
FTMT	GO:0004322
USO1	GO:0000139
DGAT1	GO:0004144
MT2A	GO:0046872
LRP10	GO:0005905
VDR	GO:0005634
LRP5	GO:0002076
ZNF236	GO:0003676
LIPC	GO:0004806
CHEK1	GO:0004672
GSK3B	GO:0000320
ITPR3	GO:0000822
NFATC4	GO:0003700
RUNX2	GO:0000981
MSI1	GO:0000166
PIK3R1	GO:0005942
VWF	GO:0001889
CDA	GO:0001882
PRSS3	GO:0004252
PICALM	GO:0005545
SNAP25	GO:0005484
ADRB2	GO:0002024
GFER	GO:0005737
HSPA2	GO:0000795
C3orf17	GO:0005634
GSTK1	GO:0015035
SPTBN4	GO:0003779
SLC30A10	GO:0005886
CDK9	GO:0003677
CDR1	GO:0005515
SORL1	GO:0000042
SPAST	GO:0001578
TNFRSF6B	GO:0004872
CYP46A1	GO:0005506
CCL5	GO:0005615
P2RY4	GO:0005524
TIMP2	GO:0002020
TNFRSF21	GO:0001783
VCAN	GO:0001501
CDKL1	GO:0004672
IFNGR1	GO:0005886
PSIP1	GO:0000395
FGB	GO:0002576
NRD1	GO:0004222
DAND5	GO:0003140
PURA	GO:0000784
ADIRF	GO:0003674
ADAM9	GO:0004222
ALPL	GO:0016311
ATP7B	GO:0005507
GLO1	GO:0004462
SQSTM1	GO:0016235
ANK3	GO:0007165
SCP2	GO:0005654
NANOS1	GO:0003723
SMAD3	GO:0005654
CYP11B1	GO:0004497
CD59	GO:0001848
SEL1L	GO:0000836
HSPB2	GO:0005515
NAAA	GO:0005737
CSNK2A1	GO:0004672
CCR1	GO:0002407
LNPEP	GO:0000209
PON2	GO:0004064
SASH1	GO:0000209
FAF1	GO:0005515
FOS	GO:0003677
RGSL1	GO:0005096
PLCL1	GO:0004435
LOX	GO:0001568
TTLL7	GO:0006464
LYST	GO:0005543
HSPB1	GO:0000502
C12orf57	GO:0005737
GSTT1	GO:0004364
WARS	GO:0004830
CALML5	GO:0005509
SRPK2	GO:0004672
CAV2	GO:0000139
DENR	GO:0003743
PIK3C3	GO:0000045
ICAM1	GO:0016020
S100A9	GO:0001816
PROC	GO:0004252
PTH1R	GO:0004991
PDSS2	GO:0005737
TFF1	GO:0005515
AGT	GO:0001543
UBB	GO:0000082
FAS	GO:0004888
PTPRA	GO:0004725
DLG4	GO:0004385
APOA1	GO:0006695
NEDD9	GO:0000922
SLCO6A1	GO:0005215
CD36	GO:0007155
SPR	GO:0004033
GAL3ST1	GO:0001733
TMED9	GO:0000139
CBR1	GO:0016491
TFAP4	GO:0006357
GZMB	GO:0008626
TMEM54	GO:0003674
ARG2	GO:0000050
HSPA1A	GO:0001618
DBN1	GO:0003779
SERPINF2	GO:0005615
MSR1	GO:0005044
MAP3K8	GO:0000165
ATP5A1	GO:0015992
MGEA5	GO:0004402
PPP1R3A	GO:0005977
PSENEN	GO:0070765
STK24	GO:0004672
BMP6	GO:0001501
SLC8A1	GO:0005432
EXOC3L2	GO:0000145
SIGLEC7	GO:0004872
ANXA1	GO:0000733
IL11	GO:0005125
SOD1	GO:0004784
PABPC4	GO:0000166
FAM3A	GO:0003674
CLPTM1L	GO:0006915
AGER	GO:0016021
SRSF2	GO:0000166
CNTN5	GO:0005737
MYO10	GO:0003774
PSAP	GO:0005654
MSC	GO:0000122
TNFAIP1	GO:0051260
CSNK1D	GO:0004674
CYP27A1	GO:0005506
SYPL2	GO:0005215
MOK	GO:0008152
LEP	GO:0000122
VIP	GO:0005179
GRIN2A	GO:0004970
NRGN	GO:0005516
SH3GL2	GO:0000139
ATXN2	GO:0005654
PRDX6	GO:0000302
CAMK2G	GO:0004683
SLC1A1	GO:0006835
OSTN	GO:0001503
VDAC2	GO:0005741
OPA1	GO:0003924
SIL1	GO:0005515
EPHB2	GO:0005003
ABCA4	GO:0005524
PTEN	GO:0004725
PTPN1	GO:0004725
CETN1	GO:0000922
SERPINI1	GO:0005615
ABCC2	GO:0005887
TGFBR2	GO:0001568
COX5A	GO:0004129
DRD4	GO:0000187
DPYD	GO:0005515
MAP2	GO:0001578
RBMY1A1	GO:0000166
CRTC1	GO:0005654
ZWINT	GO:0000776
TRAF5	GO:0004842
STUB1	GO:0005654
RRM1	GO:0005737
GRIA3	GO:0004970
ENO2	GO:0000015
IL1R1	GO:0004909
SST	GO:0005179
GCHFR	GO:0009890
ABL2	GO:0000287
CD9	GO:0016021
EPHA1	GO:0001525
IGFALS	GO:0005520
CCDC167	GO:0016021
KIAA1033	GO:0005768
SYP	GO:0005215
TSHR	GO:0004996
CA2	GO:0001822
PRRT2	GO:0005886
GAL	GO:0005184
GYPE	GO:0016021
MME	GO:0004222
PCK1	GO:0000287
ACAN	GO:0001501
TICAM2	GO:0002224
TBC1D8	GO:0005096
PDE5A	GO:0004114
COL6A1	GO:0001649
GNB2L1	GO:0001649
ST8SIA1	GO:0005794
CLTA	GO:0005198
STH	GO:0005634
NPY2R	GO:0001601
C1R	GO:0004252
PYGB	GO:0005980
SGSH	GO:0008152
HIP1	GO:0006915
A2ML1	GO:0004867
EPC2	GO:0006351
PTGS1	GO:0004601
CAPG	GO:0003779
PPP1R13B	GO:0006915
IL1B	GO:0005149
MLN	GO:0005102
HM13	GO:0004190
CFB	GO:0004252
MOAP1	GO:0001844
F5	GO:0005507
ENO1	GO:0000015
ARC	GO:0001669
KHSRP	GO:0003723
CDK5	GO:0001764
NCAPD2	GO:0005654
FOXM1	GO:0000981
SLC22A3	GO:0005329
TUBB4B	GO:0000086
TSC2	GO:0005096
FES	GO:0006935
CRLF3	GO:0000082
T	GO:0003677
TGM2	GO:0018149
FTO	GO:0001659
CTGF	GO:0001502
SOX3	GO:0000122
BGN	GO:0001974
HTR1A	GO:0004993
ACTA1	GO:0005524
SIM2	GO:0000981
C10orf35	GO:0005515
NFE2L2	GO:0003677
CD177	GO:0005515
FRK	GO:0004715
PTGIS	GO:0001516
OLFM1	GO:0001540
TFB2M	GO:0000179
ADRA2A	GO:0001819
ARRB2	GO:0007165
WRN	GO:0000287
SNCAIP	GO:0005515
GRIA2	GO:0005234
UCP2	GO:0006839
LEPR	GO:0004888
TTR	GO:0005576
APH1B	GO:0016021
PREP	GO:0004252
LHCGR	GO:0004964
KLF5	GO:0000122
IGFBP6	GO:0001558
FANCD2	GO:0006281
SGCG	GO:0005515
ABCC4	GO:0002576
CHRNB2	GO:0001508
CAT	GO:0000302
MPP7	GO:0005515
DIP2C	GO:0003824
GAD1	GO:0016831
MICA	GO:0006955
GRIN3B	GO:0004972
VTI1B	GO:0005484
CCNC	GO:0000079
PARK2	GO:0004842
HEMGN	GO:0005515
BCAN	GO:0001501
NOG	GO:0000122
HSPA14	GO:0005524
NPY4R	GO:0001601
CLK2	GO:0004672
CDKN2A	GO:0016301
GHR	GO:0000187
RPL13	GO:0003735
MAP4	GO:0008017
PZP	GO:0004866
PRKAB2	GO:0005515
SIT1	GO:0002376
TGS1	GO:0000387
SIRT3	GO:0070403
SREK1IP1	GO:0003676
PRKAA1	GO:0000187
CXCL10	GO:0005102
CH25H	GO:0001567
IGFBP4	GO:0001501
ACACB	GO:0003989
MRGPRX4	GO:0004930
PPA1	GO:0000287
LMNB1	GO:0005198
ITGB2	GO:0004872
CHGB	GO:0030141
SPAG11B	GO:0005576
NFIC	GO:0000122
PCED1B	GO:0005515
CHRM2	GO:0005886
MRE11A	GO:0000785
HLA-B	GO:0002474
SERPINA1	GO:0005615
ABI2	GO:0005737
SUMO1	GO:0005634
CD68	GO:0016020
LRP8	GO:0005509
RFC3	GO:0003677
IL1A	GO:0001660
GUCY2D	GO:0004383
ADCY8	GO:0000166
GNAI1	GO:0003924
PCDH15	GO:0005509
MVP	GO:0005515
CD200	GO:0005515
SLC2A14	GO:0005351
IRF9	GO:0004842
HDAC4	GO:0000118
MMP2	GO:0004222
PTCD2	GO:0001822
GPBAR1	GO:0005737
PPP1R10	GO:0000785
TBXA2R	GO:0004960
MCIDAS	GO:0003713
NPC1	GO:0007165
GPAM	GO:0004366
GRB2	GO:0005070
ALOX15	GO:0005506
ATXN1	GO:0000122
DHX40	GO:0004004
DNTT	GO:0003677
FYN	GO:0004715
ABCA1	GO:0005887
GRIA1	GO:0004971
MCAT	GO:0004314
AGPS	GO:0008609
RARA	GO:0003707
RXRG	GO:0003700
PRKG1	GO:0004692
IL4R	GO:0002532
PEMT	GO:0006644
FGA	GO:0005102
KCNA2	GO:0005249
EPO	GO:0005128
HLA-DRB1	GO:0002504
NAT1	GO:0008152
DSC3	GO:0005509
CYLC2	GO:0005200
PAXIP1	GO:0000416
STK38	GO:0000287
PNP	GO:0003824
PDYN	GO:0001515
SLC17A7	GO:0016021
PLAUR	GO:0001934
IGF2	GO:0001501
SHB	GO:0001525
FGF2	GO:0000186
KIR2DL5A	GO:0005886
BMP4	GO:0005160
MTOR	GO:0000724
ABCC1	GO:0005524
GYPA	GO:0016021
BCS1L	GO:0005524
BACE2	GO:0001540
GOLM1	GO:0005515
AQP4	GO:0005887
GMFB	GO:0034316
PTGIR	GO:0004930
CIB1	GO:0001525
TF	GO:0005576
KCNB1	GO:0001508
PKD2	GO:0005509
F3	GO:0001938
UBASH3B	GO:0004725
BHLHE22	GO:0000981
SEC24C	GO:0006886
PAWR	GO:0006915
BCL2L2	GO:0005741
AICDA	GO:0008152
BMP1	GO:0001503
EEF1A2	GO:0003746
